"bird_sp" "plant_sp" "int_s" "n.studies" "freq" "bird.gape" "seed.size" "family"
"Antilophia_galeata" "Myrcia_anacardiifolia" 0 0 0 9.54 9 "Pipridae"
"Antilophia_galeata" "Myrcia_hebepetala" 0 0 0 9.54 10 "Pipridae"
"Antilophia_galeata" "Myrcia_pubipetala" 0 0 0 9.54 6.58 "Pipridae"
"Antilophia_galeata" "Myrcia_spectabilis" 0 0 0 9.54 9.805 "Pipridae"
"Antilophia_galeata" "Rubus_urticifolius" 0 0 0 9.54 2.02 "Pipridae"
"Antilophia_galeata" "Siphoneugena_densiflora" 0 0 0 9.54 8 "Pipridae"
"Antilophia_galeata" "Marlierea_obscura" 0 0 0 9.54 9 "Pipridae"
"Antilophia_galeata" "Maytenus_aquifolia" 0 0 0 9.54 5.5 "Pipridae"
"Antilophia_galeata" "Copaifera_langsdorffii" 0 0 0 9.54 17 "Pipridae"
"Antilophia_galeata" "Inga_marginata" 0 0 0 9.54 11 "Pipridae"
"Antilophia_galeata" "Leandra_laevigata" 0 0 0 9.54 0.52 "Pipridae"
"Antilophia_galeata" "Leandra_refracta" 0 0 0 9.54 0.5 "Pipridae"
"Antilophia_galeata" "Leandra_sabiaensis" 0 0 0 9.54 0.58 "Pipridae"
"Antilophia_galeata" "Miconia_latecrenata" 0 0 0 9.54 0.62 "Pipridae"
"Antilophia_galeata" "Ossaea_amygdaloides" 0 0 0 9.54 1.05 "Pipridae"
"Antilophia_galeata" "Piper_corintoanum" 0 0 0 9.54 1.33 "Pipridae"
"Antilophia_galeata" "Trichilia_catigua" 0 0 0 9.54 12.5 "Pipridae"
"Antilophia_galeata" "Trichilia_clausseni" 0 0 0 9.54 6 "Pipridae"
"Antilophia_galeata" "Trichilia_elegans" 0 0 0 9.54 7.6 "Pipridae"
"Antilophia_galeata" "Trichilia_pallida" 0 0 0 9.54 7 "Pipridae"
"Antilophia_galeata" "Miconia_prasina" 0 0 0 9.54 0.6 "Pipridae"
